Date/Time,Surface_10,Sub_Surface_2,Surface_11,Surface_13,Surface_14,Surface_2,Surface_20,Surface_22,Surface_5,Sub_Surface_1,Surface_1,Surface_15,Surface_21,Surface_9,Surface_12,Surface_18,Surface_24,Surface_6
 08/04  05:00:00,22.39142907,20.55837208,21.85767744,22.21478882,21.00032343,21.92344053,21.00032343,22.41089534,21.83568446,19.83583766,22.375,22.375,22.375,22.375,17.76130607,17.82473022,17.77245398,17.81029944
 08/04  06:00:00,24.26566313,21.92716405,22.0120313,22.35007748,21.66941043,22.06271649,21.66941043,24.32487299,21.99005217,20.11698775,22.375,22.375,22.375,22.375,17.95909781,18.02419567,17.96775733,18.01298662
 08/04  07:00:00,36.02794921,28.41287108,23.49959178,23.65792916,24.96784188,23.38074536,24.96784188,36.38798425,23.47237058,23.61944775,22.375,22.375,22.375,22.375,23.42140631,23.47053808,23.42780649,23.46225555
 08/04  08:00:00,44.60086929,30.45255772,25.58049512,25.43133613,25.86230182,25.16576627,25.86230182,45.15785967,25.53547326,27.52803496,22.375,22.375,22.375,22.375,31.30263535,31.34762592,31.30728966,31.34160194
 08/04  09:00:00,48.57085736,29.82293267,29.66978187,27.19694161,26.96784312,26.93390739,26.96784312,49.20958156,29.43412606,33.72110307,22.375,22.375,22.375,22.375,39.94661835,39.98555651,39.95005411,39.98110972
 08/04  10:00:00,49.28902434,27.98407865,34.7586099,28.86608478,28.56947487,28.59909406,28.56947487,49.94661792,34.36480401,37.83534237,22.375,22.375,22.375,22.375,48.55435107,48.58254655,48.55694646,48.57918735
 08/04  11:00:00,47.00358651,27.44454537,39.40697025,30.28390337,29.9104205,30.01925826,29.9104205,47.95684605,39.00983717,38.78883118,22.375,22.375,22.375,22.375,56.10061975,56.12404809,56.10251301,56.12159766
 08/04  12:00:00,41.71721928,29.33732328,42.59582327,31.75195294,31.42392297,31.50570623,31.42392297,43.04243006,42.33294077,38.44966202,22.375,22.375,22.375,22.375,58.83270709,58.85339436,58.83401668,58.85169935
 08/04  13:00:00,38.54516709,30.27949303,42.47106297,34.31535077,32.83214856,34.08776025,32.83214856,39.09127886,42.29134737,38.71124986,22.375,22.375,22.375,22.375,55.6518003,55.64173317,55.65272293,55.64053889
 08/04  14:00:00,37.652895,30.00134191,43.46139002,39.95826396,33.39302689,39.74053811,33.39302689,38.02116,43.17575347,41.06017986,22.375,22.375,22.375,22.375,59.00675017,58.99549052,59.00743723,58.99460114
